,A_m2,Bankfull_depth_m,Channel_Width_m,Levee_to_Levee_m,Soil_Type
HUC_1802015303,143060000.0,1.78924918175,42.6696777344,85.3393554688,Loam
HUC_1802012510,245360000.0,2.48163795471,71.4777145386,142.955429077,Loam
HUC_1802016103,324940000.0,1.73946201801,40.812286377,81.6245727539,Loam
HUC_1802016302,322369984.0,1.47357273102,31.4176082611,62.8352165222,Clay loam
HUC_1802011103,230710000.0,1.51298511028,32.7530097961,65.5060195923,Loam
HUC_1804000103,313070016.0,4.26719999313,226.771194458,453.542388916,Sandy loam
HUC_1804000116,519400000.0,1.98223257065,50.1503105164,100.300621033,Loam
HUC_1804000119,592819968.0,1.95757699013,49.1700935364,98.3401870728,Clay loam
HUC_1804000705,652700032.0,2.06341934204,53.4277191162,106.855438232,Sandy loam
HUC_1804000808,321390016.0,2.44628667831,69.8785247803,139.757049561,Sandy loam
HUC_1804000914,329030016.0,2.69909548759,81.6022415161,163.204483032,Sandy loam
HUC_1804001209,227370000.0,2.28108978271,62.5829353333,125.165870667,Loam
HUC_1804005102,314420000.0,1.58381652832,35.2036819458,70.4073638916,Silt loam
HUC_1802015208,417670016.0,2.26837825775,62.0338134766,124.067626953,Clay loam
HUC_1802015405,182380000.0,3.9167470932,146.800186157,293.600372314,Loam
HUC_1804000118,547180032.0,2.46601963043,70.7695541382,141.539108276,Sandy loam
HUC_1804005104,227570000.0,1.90486943722,47.098487854,94.196975708,Clay
HUC_1802015504,375240000.0,2.13359999657,167.63999939,335.279998779,Loam
SJRS,2652580096.0,4.26719999313,171.907196045,343.81439209,Clay loam
HUC_1802015606,644579968.0,2.13359999657,167.63999939,335.279998779,Loam
HUC_1804000202,752569984.0,3.87452149391,144.312042236,288.624084473,Sandy loam
SRN,1101970048.0,2.13359999657,167.63999939,335.279998779,Loam
HUC_1804000204,795070016.0,3.92142987251,147.077072144,294.154144287,Loam
SRM,3475130112.0,2.13359999657,167.63999939,335.279998779,Loam
HUC_1804000205,275380000.0,4.14194631577,160.330535889,320.661071777,Clay loam
SRS,2080310016.0,2.13359999657,167.63999939,335.279998779,Clay loam
SJRN,2533400064.0,4.26719999313,171.907196045,343.81439209,Clay loam
DEL,3272270080.0,2.13359999657,167.63999939,335.279998779,Silty clay loam
